year,month,day,extended,State,City,latitude,longitude,specificity,vicinity,criteria_1,criteria_2,criteria_3,doubt_terrorism,multiple,success,suicide,Attack Type,Attack Name,Target Type,Target Name,Group Name,guncertain1,Weapon Type,Weapon Name,property,Hostage/Kidnapped,Property Value,Fatalities,Offender Fatalities,Wounded,Date
1991,1,10,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1991-01-10
1991,3,29,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,6,Airports & Aircraft,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1991-03-29
1991,4,24,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,11,Maritime,Islamist extremists,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1991-04-24
1991,5,10,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,0,0,1,0,4,Hijacking,3,Police,Somali Patriotic Movement,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1991-05-10
1991,5,18,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,1,Assassination,2,Government (General),Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1991-05-18
1991,12,11,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,11,Maritime,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1991-12-11
1991,12,15,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,1,Assassination,12,NGO,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1991-12-15
1992,1,5,0,Bari,Bosaso,11.274796,49.179657,1.0,0,1,1,1,0,0,1,0,1,Assassination,7,Government (Diplomatic),Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,2.0,0.7280546420440172,3.0,1992-01-05
1992,1,15,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,0,0,1,0,1,Assassination,12,NGO,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1992-01-15
1992,4,12,1,Sanaag,Erigavo,10.6163,47.366674,1.0,0,1,1,1,0,0,1,0,4,Hijacking,6,Airports & Aircraft,Unknown,0.0,6,Explosives,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-04-12
1992,5,13,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,12,NGO,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,2.9603626943005183,0.0,2.765963511972634,1992-05-13
1992,6,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,4,Hijacking,11,Maritime,Aidid Militia,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-06-13
1992,8,26,0,Lower Juba,Kismayo,-0.357847,42.54665,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-08-26
1992,8,28,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Somali Gang,0.0,5,Firearms,1,0.0,216666.66666666666,3.0,0.7280546420440172,2.0,1992-08-28
1992,9,18,0,Hiiraan,Beledweyne,4.73538,45.2024,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-09-18
1992,9,23,0,Gedo,Bardera,2.349308,42.280334,1.0,1,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Somali National Alliance,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-09-23
1992,9,25,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,0,0,1,Assassination,12,NGO,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1992-09-25
1992,10,10,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1992-10-10
1992,10,25,0,Bay,Baidoa,3.115641,43.64658,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-10-25
1992,11,11,0,Bay,Baidoa,3.115641,43.64658,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-11-11
1992,11,11,0,Lower Shebelle,Merca,1.716188,44.768864,1.0,0,1,1,1,-9,0,1,0,4,Hijacking,1,Business,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-11-11
1992,11,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,12,NGO,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1992-11-13
1992,11,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,7,Government (Diplomatic),Gunmen loyal to Mohammad Farah Aideed,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-11-13
1992,11,24,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Somali Guerrillas,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1992-11-24
1992,11,25,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1992-11-25
